"NATIONAL ACCOUNTS","","","","",""
"","Gross Domestic Product by Activity, 2009 - 2013","","","",""
"Table 27","","","Per cent Contributions to GDP","",""
"Industry","2009","2010","2011","2012","2013"
"Agriculture and forestry","23.4","21.2","23.8","24.6","25.3"
"Growing of crops and horticulture","16.8","15.8","17.9","18.3","19.4"
"Farming of animals","5.4","4.3","4.8","5.1","4.9"
"Agricultural and animal husbandry services","0.4","0.4","0.4","0.5","0.4"
"Forestry and logging","0.8","0.8","0.7","0.7","0.7"
"Fishing","0.4","0.6","0.5","0.5","0.5"
"Mining and quarrying","0.5","0.7","0.7","0.7","0.6"
"Manufacturing","9.9","9.8","9.6","9.5","8.9"
"Manufacture of food, beverages and tobacco","3.2","3.1","3.2","3.1","3.0"
"All other manufacturing","6.7","6.7","6.4","6.3","5.9"
"Electricity and water supply","2.2","2.0","1.0","1.4","1.4"
"Electricity supply","1.6","1.3","0.4","0.7","0.6"
"Water supply","0.6","0.7","0.7","0.7","0.8"
"Construction","4.1","4.2","4.1","4.2","4.4"
"Wholesale and retail trade, repairs","9.8","10.1","10.5","10.5","10.2"
"Hotels and restaurants","1.7","1.7","1.7","1.7","1.5"
"Transport and communication","9.9","10.0","10.0","9.6","9.1"
"Transport and storage","7.2","7.5","7.8","7.5","7.1"
"Post and telecommunications","2.6","2.5","2.2","2.1","2.0"
"Financial intermediation","5.4","5.6","6.3","5.2","4.8"
"Real estate, renting and business services","4.9","4.8","4.4","4.3","4.1"
"Dwellings, owner occupied and rented","2.5","2.4","2.1","2.0","1.9"
"Renting and business services","2.5","2.4","2.3","2.3","2.2"
"Public administration and defence","5.0","5.5","5.0","5.5","6.7"
"Education","6.0","6.2","5.8","6.1","6.7"
"Health and social work","2.5","2.5","2.4","2.4","1.9"
"Other community, social and personal services","3.3","3.3","3.2","3.2","3.5"
"Private households with employed persons","0.4","0.4","0.4","0.4","0.4"
"Less: Financial services indirectly measured","-1.1","-0.8","-1.0","-0.8","-1.0"
"All industries at basic prices","88.4","87.9","88.5","88.9","89.1"
"Taxes less subsidies on products","11.6","12.1","11.5","11.1","10.9"
"GDP at market prices","100.0","100.0","100.0","100.0","100.0"
"Corporations, non-profit institutions and households","76.0","74.7","76.2","75.8","74.4"
"General government","12.4","13.1","12.3","13.1","14.8"
"Provisional","","","","",""
