"NATIONAL ACCOUNTS","","","","","","",""
"","Table 2.3: Contribution to Gross Domestic Product by Activity, 2012 - 2018","","","","","",""
"","","","","","","","Percentage"
"Industry","2012","2013","2014","2015","2016⁺","2017⁺","2018"
"Agriculture, forestry and fishing......................................................","26.2","26.4","27.5","30.2","31.1","34.8","34.2"
"Growing of crops.........................................................................","18.0","18.4","19.7","23.0","24.2","28.4","27.8"
"Animal production.......................................................................","5.5","5.3","5.1","4.7","4.6","4.2","4.1"
"Support activities to agriculture...................................................","0.7","0.6","0.6","0.6","0.5","0.5","0.5"
"Forestry & logging.......................................................................","1.4","1.4","1.3","1.3","1.3","1.2","1.3"
"Fishing & aquaculture.................................................................","0.7","0.7","0.7","0.6","0.5","0.4","0.5"
"Mining and quarrying......................................................................","1.1","0.9","0.8","0.9","0.8","0.8","0.8"
"Manufacturing.................................................................................","11.0","10.7","10.0","9.4","9.3","8.0","7.7"
"Manufacture of food, beverages and tobacco.............................","4.3","4.2","3.8","3.7","3.7","3.4","3.2"
"All other manufacturing...............................................................","6.7","6.4","6.1","5.7","5.6","4.7","4.6"
"Electricity supply.............................................................................","1.1","1.1","1.0","1.4","1.9","1.8","1.8"
"Water supply; sewerage, waste management................................","0.9","0.9","0.8","0.7","0.7","0.7","0.7"
"Construction...................................................................................","4.5","4.5","4.9","4.9","5.1","5.6","5.4"
"Wholesale and retail trade, repairs.................................................","7.8","8.0","8.0","7.5","7.2","7.4","7.4"
"Transport and storage....................................................................","8.0","8.0","8.6","8.1","8.1","7.5","8.0"
"Accommodation and food service activities....................................","1.3","1.2","0.9","0.8","0.7","0.7","0.7"
"Information communication technology...........................................","1.6","1.4","1.2","1.5","1.5","1.3","1.3"
"Telecommunications...................................................................","0.8","0.7","0.5","0.8","0.9","0.8","0.8"
"Publishing, broadcasting, other IT and information activities.......","0.8","0.8","0.7","0.6","0.6","0.5","0.5"
"Financial and insurance activities...................................................","5.9","6.6","6.8","6.7","7.1","6.1","6.0"
"Real estate.....................................................................................","8.0","7.9","7.7","7.5","7.6","7.1","7.0"
"Professional, scientific and technical activities................................","1.0","1.0","1.0","0.9","0.9","0.8","0.8"
"Administrative and support service activities..................................","1.3","1.2","1.1","1.0","1.0","0.9","0.9"
"Public administration and defence..................................................","4.4","4.4","4.5","4.3","3.9","3.6","3.5"
"Education.......................................................................................","5.4","5.3","5.2","4.9","4.4","4.0","4.3"
"Human health and social work activities.........................................","1.7","1.6","1.7","1.7","1.7","1.5","1.5"
"Arts, entertainment and recreation..................................................","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Other service activities...................................................................","0.6","0.6","0.6","0.6","0.6","0.6","0.6"
"Activities of households as employers;...........................................","0.6","0.5","0.5","0.5","0.5","0.4","0.4"
"Less: Financial intermediation services indirectly measured...........","-2.6","-2.6","-2.5","-2.6","-2.8","-2.0","-1.9"
"All industries at basic prices.......................................................","89.9","89.9","90.4","91.1","91.4","91.7","91.3"
"Taxes less subsidies on products...................................................","10.1","10.1","9.6","8.9","8.6","8.3","8.7"
"GDP at market prices...................................................................","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Provisional","","","","","","",""
