"Table 187 (b)","","","","","","","","","Number"
"","","10000 -","15000 -","20000 -","25000 -","30000 -","50000 -","",""
"","0 - 9999","14999","19999","24999","29999","49999","99999","100000","TOTAL"
"INDUSTRY","KSh","KSh","KSh","KSh","KSh","KSh","KSh","KSh",""
"Agriculture, Forestry And Fishing","12,328","36,797","113,270","101,786","38,294","24,395","13,135","6,733","346,738"
"Mining And Quarrying","64","109","1,018","1,710","2,118","2,492","1,889","14","9,414"
"Manufacturing","640","1,744","17,418","51,580","55,101","77,225","70,907","5,649","280,264"
"Electricity, Gas, Steam And Air Conditioning Supply","-","120","54","3,840","821","1,680","8,123","36","14,674"
"Water Supply; Sewerage, Waste Management And Remediation Activities","-","-","-","3,656","2,388","2,372","985","100","9,501"
"Construction","-","867","2,994","21,459","20,077","42,542","39,164","3,149","130,252"
"Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles","70","2,712","5,431","25,164","32,168","64,850","71,796","10,175","212,366"
"Transportation And Storage","820","385","840","11,017","16,522","22,769","22,710","1,294","76,357"
"Accommodation And Food Service Activities","331","280","1,295","9,869","13,111","28,706","17,690","2,397","73,679"
"Information And Communication","57","58","124","3,181","10,000","48,942","28,702","1,646","92,710"
"Financial And Insurance Activities","-","-","357","10,879","3,062","8,374","33,896","10,461","67,029"
"Real Estate Activities","166","445","64","404","861","977","791","117","3,825"
"Professional, Scientific And Technical Activities","2,856","7,596","1,077","6,919","15,908","15,559","13,507","1,997","65,419"
"Administrative And Support Service Activities","48","175","454","960","1,506","971","589","146","4,849"
"Public Administration And Defence; Compulsory Social Security","1,450","1,039","6,888","34,837","34,067","84,846","50,419","4,284","217,830"
"Education","223","4,796","46,740","89,016","131,362","78,326","38,645","11,741","400,849"
"Human Health And Social Work Activities","-","1,383","13,152","25,047","36,218","22,798","10,874","3,305","112,777"
"Arts, Entertainment And Recreation","-","82","779","1,481","2,133","1,347","645","197","6,664"
"Other Service Activities","-","204","1,910","5,492","8,525","7,522","5,595","508","29,756"
"Activities Of Households As Employers; Undifferentiated Goods- And Services-","","","","","","","","",""
"","-","303","802","18,336","24,929","33,764","31,555","-","109,689"
"Producing Activities Of Households For Own Use","","","","","","","","",""
"Activities Of Extraterritorial Organizations And Bodies","-","-","-","257","76","252","475","16","1,076"
"Grand Total","19,053","59,095","214,667","426,890","449,247","570,709","462,092","63,965","2,265,718"
"Provisional","","","","","","","","",""
