"Income","","","","","","","","","","","","","","",""
"(Monthly)","","2014","","","2015","","","2016","","","2017","","","2018",""
"Groups","Male","Female","Total","Male","Female","Total","Male","Female","Total","Male","Female","Total","Male","Female","Total"
"0 - 9,999","5,541","4,301","9,842","6,216","4,390","10,606","11,393","5,843","17,236","9,141","6,392","15,533","13,439","9,749","23,188"
"10,000 - 14,999","16,020","11,503","27,523","17,557","11,416","28,973","21,999","10,128","32,127","20,218","13,011","33,229","14,304","9,161","23,465"
"15,000 - 19,999","99,414","53,799","153,213","115,387","55,432","170,819","105,238","33,331","138,569","84,435","40,053","124,488","61,376","30,297","91,673"
"20,000 - 24,999","210,284","183,246","393,530","215,249","171,691","386,940","168,241","102,663","270,904","116,319","91,928","208,247","100,761","82,572","183,333"
"25,000 - 29,999","173,971","145,891","319,862","184,404","141,272","325,676","220,242","125,479","345,721","217,382","164,968","382,350","184,524","145,222","329,746"
"30,000 - 49,999","533,005","288,449","821,454","589,991","283,437","873,428","715,326","230,559","945,885","606,853","287,867","894,720","731,832","361,241","1,093,073"
"50,000 - 99,999","346,248","229,732","575,980","379,853","227,113","606,966","496,159","207,403","703,562","582,201","344,298","926,499","550,264","337,898","888,162"
"100,000","43,972","24,808","68,780","49,615","24,932","74,547","74,387","25,929","100,316","76,456","37,949","114,405","87,400","45,119","132,519"
"Total .. .. ... 1,428,455","","941,729","2,370,184","1,558,272","919,683","2,477,955","1,812,985","741,335","2,554,320","1,713,005","986,466","2,699,471","1,743,900","1,021,259","2,765,159"
"1  Excluding unpaid family workers and unpaid directors","","","","","","","","","","","","","","",""
