,Industry,Year,Contribution_by_Gdp,Growth_of_GDP,"0 - 9,999","10,000 - 14999","15,000 - 19999","20,000 - 24999","25,000 - 29999","30,000 - 49999","50,000 - 99999",100000+,TOTAL
0,"Agriculture, Forestry And Fishing",2011,23.8,1.5,"12,141","36,238","111,549","100,240","37,712","23,976","12,935","6,631","341,422"
1,Mining And Quarrying,2011,0.7,7.1,59,101,944,"1,586","1,965","2,312","1,752",13,"8,732"
2,Manufacturing,2011,9.6,3.4,632,"1,723","17,205","50,949","54,427","76,329","70,040","5,580","276,885"
3,"Electricity, Gas, Steam And Air Conditioning Supply",2011,0.4,-4.4,-,101,45,"3,229",690,"1,413","6,830",30,"12,338"
4,"Water Supply; Sewerage, Waste Management And Remediation Activities",2011,0.7,3.0,-,-,-,"3,036","1,983","1,970",818,83,"7,890"
5,Construction,2011,4.1,4.3,-,714,"2,465","17,669","16,531","35,028","32,245","2,593","107,245"
6,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2011,10.5,7.3,56,"2,179","4,363","20,215","25,842","52,176","57,676","8,174","170,681"
7,Transportation And Storage,2011,7.8,5.4,821,386,841,"11,032","16,544","22,798","22,740","1,296","76,458"
8,Accommodation And Food Service Activities,2011,1.7,4.9,318,269,"1,245","9,485","12,600","27,588","17,001","2,303","70,809"
9,Information And Communication,2011,2.2,4.3,48,49,105,"2,684","8,438","41,299","24,220","1,389","78,232"
10,Financial And Insurance Activities,2011,6.3,7.8,-,-,263,"8,004","2,253","6,161","24,939","7,697","49,317"
11,Real Estate Activities,2011,4.4,3.6,156,417,60,379,807,916,741,109,"3,585"
12,"Professional, Scientific And Technical Activities",2011,2.1,4.1,"2,613","6,949",985,"6,328","14,552","14,233","12,356","1,827","59,843"
13,Administrative And Support Service Activities,2011,2.3,3.0,23,84,218,461,723,466,283,70,"2,328"
14,Public Administration And Defence; Compulsory Social Security,2011,5.0,2.5,"1,142",818,"5,425","27,437","26,831","66,784","39,709","3,374","171,520"
15,Education,2011,5.8,4.8,214,"4,600","44,832","85,383","126,000","75,081","37,068","11,262","384,440"
16,Human Health And Social Work Activities,2011,2.4,3.5,-,"1,245","11,839","22,546","32,602","20,522","9,788","2,975","101,517"
17,"Arts, Entertainment And Recreation",2011,3.2,4.6,-,35,332,631,909,574,275,84,"2,840"
18,Other Service Activities,2011,0.4,2.0,-,349,"3,302","9,493","14,735","13,001","9,671",878,"51,429"
19,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2011,,,-,292,772,"17,654","24,002","32,508","30,382",-,"105,610"
20,Activities Of Extraterritorial Organizations And Bodies,2011,,,-,-,-,241,71,236,446,15,"1,009"
21,"Agriculture, Forestry And Fishing",2012,26.2,2.8,"12,008","35,842","110,330","99,145","37,300","23,714","12,794","6,559","337,691"
22,Mining And Quarrying,2012,1.1,19.0,61,104,973,"1,635","2,026","2,383","1,806",13,"9,001"
23,Manufacturing,2012,11.0,-0.6,618,"1,686","16,835","49,852","53,256","74,686","68,533","5,460","270,926"
24,"Electricity, Gas, Steam And Air Conditioning Supply",2012,1.1,13.6,-,117,52,"3,730",797,"1,632","7,890",35,"14,253"
25,"Water Supply; Sewerage, Waste Management And Remediation Activities",2012,0.9,3.1,-,-,-,"3,299","2,155","2,141",889,90,"8,573"
26,Construction,2012,4.5,11.3,-,773,"2,669","19,133","17,901","37,931","34,917","2,808","116,132"
27,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2012,7.8,7.0,65,"2,527","5,059","23,441","29,966","60,502","66,880","9,478","197,917"
28,Transportation And Storage,2012,8.0,2.6,807,379,826,"10,840","16,257","22,402","22,345","1,273","75,130"
29,Accommodation And Food Service Activities,2012,1.3,3.1,310,262,"1,212","9,232","12,264","26,852","16,547","2,242","68,920"
30,Information And Communication,2012,1.6,2.6,53,54,115,"2,941","9,246","45,255","26,540","1,522","85,726"
31,Financial And Insurance Activities,2012,5.9,6.0,-,-,329,"10,009","2,817","7,704","31,187","9,625","61,672"
32,Real Estate Activities,2012,8.0,4.0,161,430,62,391,833,946,765,113,"3,701"
33,"Professional, Scientific And Technical Activities",2012,1.0,6.2,"2,738","7,282","1,032","6,631","15,250","14,916","12,949","1,915","62,713"
34,Administrative And Support Service Activities,2012,1.3,2.3,44,161,419,885,"1,388",895,543,134,"4,470"
35,Public Administration And Defence; Compulsory Social Security,2012,4.4,4.0,"1,381",989,"6,561","33,184","32,451","80,772","48,026","4,081","207,446"
36,Education,2012,5.4,11.1,214,"4,605","44,877","85,468","126,125","75,156","37,105","11,273","384,822"
37,Human Health And Social Work Activities,2012,1.7,-2.8,-,"1,284","12,211","23,254","33,626","21,166","10,095","3,068","104,705"
38,"Arts, Entertainment And Recreation",2012,0.1,-2.6,-,80,755,"1,435","2,067","1,305",625,191,"6,459"
39,Other Service Activities,2012,0.6,4.0,-,191,"1,811","5,205","8,080","7,129","5,303",481,"28,201"
40,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2012,0.6,1.5,,294,777,"17,761","24,148","32,705","30,566",-,"106,251"
41,Activities Of Extraterritorial Organizations And Bodies,2012,-2.6,,-,-,-,249,73,244,461,16,"1,043"
42,"Agriculture, Forestry And Fishing",2013,26.4,5.4,"12,328","36,797","113,270","101,786","38,294","24,395","13,135","6,733","346,738"
43,Mining And Quarrying,2013,0.9,-4.2,64,109,"1,018","1,710","2,118","2,492","1,889",14,"9,414"
44,Manufacturing,2013,10.7,5.6,640,"1,744","17,418","51,580","55,101","77,225","70,907","5,649","280,264"
