,Industry,Year,Contribution_to_Gdp,Growth_of_GDP,Wage_bracket_0_to_9999,Wage_bracket_10000_to_14999,Wage_bracket_15000_to_19999,Wage_bracket_20000_to_24999,Wage_bracket_25000_to_29999,Wage_bracket_30000_to_49999,Wage_bracket_50000_to_99999,Wage_bracket_100000_plus,TOTAL
0,"Agriculture, Forestry And Fishing",2011,23.8,1.5,12141,36238,111549,100240,37712,23976,12935,6631,341422
1,Mining And Quarrying,2011,0.7,7.1,59,101,944,1586,1965,2312,1752,13,8732
2,Manufacturing,2011,9.6,3.4,632,1723,17205,50949,54427,76329,70040,5580,276885
3,"Electricity, Gas, Steam And Air Conditioning Supply",2011,0.4,-4.4,,101,45,3229,690,1413,6830,30,12338
4,"Water Supply; Sewerage, Waste Management And Remediation Activities",2011,0.7,3.0,,,,3036,1983,1970,818,83,7890
5,Construction,2011,4.1,4.3,,714,2465,17669,16531,35028,32245,2593,107245
6,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2011,10.5,7.3,56,2179,4363,20215,25842,52176,57676,8174,170681
7,Transportation And Storage,2011,7.8,5.4,821,386,841,11032,16544,22798,22740,1296,76458
8,Accommodation And Food Service Activities,2011,1.7,4.9,318,269,1245,9485,12600,27588,17001,2303,70809
9,Information And Communication,2011,2.2,4.3,48,49,105,2684,8438,41299,24220,1389,78232
10,Financial And Insurance Activities,2011,6.3,7.8,,,263,8004,2253,6161,24939,7697,49317
11,Real Estate Activities,2011,4.4,3.6,156,417,60,379,807,916,741,109,3585
12,"Professional, Scientific And Technical Activities",2011,2.1,4.1,2613,6949,985,6328,14552,14233,12356,1827,59843
13,Administrative And Support Service Activities,2011,2.3,3.0,23,84,218,461,723,466,283,70,2328
14,Public Administration And Defence; Compulsory Social Security,2011,5.0,2.5,1142,818,5425,27437,26831,66784,39709,3374,171520
15,Education,2011,5.8,4.8,214,4600,44832,85383,126000,75081,37068,11262,384440
16,Human Health And Social Work Activities,2011,2.4,3.5,,1245,11839,22546,32602,20522,9788,2975,101517
17,"Arts, Entertainment And Recreation",2011,3.2,4.6,,35,332,631,909,574,275,84,2840
18,Other Service Activities,2011,0.4,2.0,,349,3302,9493,14735,13001,9671,878,51429
19,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2011,,,,292,772,17654,24002,32508,30382,,105610
20,Activities Of Extraterritorial Organizations And Bodies,2011,,,,,,241,71,236,446,15,1009
21,"Agriculture, Forestry And Fishing",2012,26.2,2.8,12008,35842,110330,99145,37300,23714,12794,6559,337691
22,Mining And Quarrying,2012,1.1,19.0,61,104,973,1635,2026,2383,1806,13,9001
23,Manufacturing,2012,11.0,-0.6,618,1686,16835,49852,53256,74686,68533,5460,270926
24,"Electricity, Gas, Steam And Air Conditioning Supply",2012,1.1,13.6,,117,52,3730,797,1632,7890,35,14253
25,"Water Supply; Sewerage, Waste Management And Remediation Activities",2012,0.9,3.1,,,,3299,2155,2141,889,90,8573
26,Construction,2012,4.5,11.3,,773,2669,19133,17901,37931,34917,2808,116132
27,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2012,7.8,7.0,65,2527,5059,23441,29966,60502,66880,9478,197917
28,Transportation And Storage,2012,8.0,2.6,807,379,826,10840,16257,22402,22345,1273,75130
29,Accommodation And Food Service Activities,2012,1.3,3.1,310,262,1212,9232,12264,26852,16547,2242,68920
30,Information And Communication,2012,1.6,2.6,53,54,115,2941,9246,45255,26540,1522,85726
31,Financial And Insurance Activities,2012,5.9,6.0,,,329,10009,2817,7704,31187,9625,61672
32,Real Estate Activities,2012,8.0,4.0,161,430,62,391,833,946,765,113,3701
33,"Professional, Scientific And Technical Activities",2012,1.0,6.2,2738,7282,1032,6631,15250,14916,12949,1915,62713
34,Administrative And Support Service Activities,2012,1.3,2.3,44,161,419,885,1388,895,543,134,4470
35,Public Administration And Defence; Compulsory Social Security,2012,4.4,4.0,1381,989,6561,33184,32451,80772,48026,4081,207446
36,Education,2012,5.4,11.1,214,4605,44877,85468,126125,75156,37105,11273,384822
37,Human Health And Social Work Activities,2012,1.7,-2.8,,1284,12211,23254,33626,21166,10095,3068,104705
38,"Arts, Entertainment And Recreation",2012,0.1,-2.6,,80,755,1435,2067,1305,625,191,6459
39,Other Service Activities,2012,0.6,4.0,,191,1811,5205,8080,7129,5303,481,28201
40,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2012,0.6,1.5,nan,294,777,17761,24148,32705,30566,,106251
41,Activities Of Extraterritorial Organizations And Bodies,2012,-2.6,,,,,249,73,244,461,16,1043
42,"Agriculture, Forestry And Fishing",2013,26.4,5.4,12328,36797,113270,101786,38294,24395,13135,6733,346738
43,Mining And Quarrying,2013,0.9,-4.2,64,109,1018,1710,2118,2492,1889,14,9414
44,Manufacturing,2013,10.7,5.6,640,1744,17418,51580,55101,77225,70907,5649,280264
45,"Electricity, Gas, Steam And Air Conditioning Supply",2013,1.1,9.8,,120,54,3840,821,1680,8123,36,14674
46,"Water Supply; Sewerage, Waste Management And Remediation Activities",2013,0.9,0.9,,,,3656,2388,2372,985,100,9501
47,Construction,2013,4.5,6.1,,867,2994,21459,20077,42542,39164,3149,130252
48,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2013,8.0,8.4,70,2712,5431,25164,32168,64850,71796,10175,212366
49,Transportation And Storage,2013,8.0,1.3,820,385,840,11017,16522,22769,22710,1294,76357
50,Accommodation And Food Service Activities,2013,1.2,-4.6,331,280,1295,9869,13111,28706,17690,2397,73679
51,Information And Communication,2013,1.4,12.5,57,58,124,3181,10000,48942,28702,1646,92710
